ID,Date,Symbol,Open,High,Low,Close,Volume,Market Cap,Year,Month,Day,DayOfWeek
710,2017-07-17,ETH,159.99,194.75,158.04,193.42,1669500032.0,14932733952.0,2017,7,7,0
711,2017-07-18,ETH,195.03,267.99,182.06,234.39,2709260032.0,18207434752.0,2017,7,7,1
712,2017-07-19,ETH,234.94,245.65,191.74,199.7,2328790016.0,21939337216.0,2017,7,7,2
713,2017-07-20,ETH,205.42,233.9,203.22,227.26,2224999936.0,19187824640.0,2017,7,7,3
714,2017-07-21,ETH,226.06,235.12,213.01,218.3,1006129984.0,21121122304.0,2017,7,7,4
715,2017-07-22,ETH,217.86,232.7,216.87,229.48,618259968.0,20360077312.0,2017,7,7,5
716,2017-07-23,ETH,229.12,231.68,217.72,225.95,649614976.0,21418291200.0,2017,7,7,6
717,2017-07-24,ETH,226.29,227.54,222.45,224.71,431691008.0,21158543360.0,2017,7,7,0
718,2017-07-25,ETH,224.37,225.32,195.85,206.71,1095760000.0,20985184256.0,2017,7,7,1
719,2017-07-26,ETH,207.09,210.77,194.78,203.95,717692032.0,19373395968.0,2017,7,7,2
720,2017-07-27,ETH,204.86,206.44,201.26,204.32,393283008.0,19169816576.0,2017,7,7,3
721,2017-07-28,ETH,204.32,204.9,192.3,193.12,562571008.0,19125102592.0,2017,7,7,4
722,2017-07-29,ETH,193.34,208.68,179.65,205.79,824355008.0,18101762048.0,2017,7,7,5
723,2017-07-30,ETH,206.74,208.54,196.15,197.98,596233984.0,19360923648.0,2017,7,7,6
724,2017-07-31,ETH,197.4,203.87,193.41,203.87,569414016.0,18492033024.0,2017,7,7,0
725,2017-08-01,ETH,204.69,227.74,204.69,226.77,1585330048.0,19179139072.0,2017,8,8,1
726,2017-08-02,ETH,227.01,229.51,218.12,219.95,632606016.0,21275228160.0,2017,8,8,2
727,2017-08-03,ETH,220.18,228.29,219.89,225.34,557217024.0,20640077824.0,2017,8,8,3
728,2017-08-04,ETH,225.31,227.62,222.06,223.07,539782976.0,21125576704.0,2017,8,8,4
729,2017-08-05,ETH,222.85,256.51,221.95,256.51,1332999936.0,20899981312.0,2017,8,8,5
730,2017-08-06,ETH,256.42,271.05,252.85,261.57,1482979968.0,24053475328.0,2017,8,8,6
731,2017-08-07,ETH,261.24,271.96,256.69,269.18,935726976.0,24510986240.0,2017,8,8,0
732,2017-08-08,ETH,269.1,298.91,266.8,296.77,1502409984.0,25254578176.0,2017,8,8,1
733,2017-08-09,ETH,297.63,318.72,276.69,296.03,2638579968.0,27938674688.0,2017,8,8,2
734,2017-08-10,ETH,296.96,306.59,289.93,295.89,1076819968.0,27882172416.0,2017,8,8,3
735,2017-08-11,ETH,294.49,309.21,294.49,308.86,953576000.0,27657009152.0,2017,8,8,4
736,2017-08-12,ETH,308.71,317.56,307.9,310.6,1111650048.0,28998699008.0,2017,8,8,5
737,2017-08-13,ETH,310.37,310.82,289.31,298.06,1369369984.0,29161054208.0,2017,8,8,6
738,2017-08-14,ETH,298.03,306.81,296.41,300.1,864390976.0,28008683520.0,2017,8,8,0
739,2017-08-15,ETH,299.95,300.41,279.33,289.82,1051800000.0,28195801088.0,2017,8,8,1
740,2017-08-16,ETH,289.82,303.41,285.39,302.27,967643008.0,27249725440.0,2017,8,8,2
741,2017-08-17,ETH,302.8,311.03,300.25,301.46,909494016.0,28477546496.0,2017,8,8,3
742,2017-08-18,ETH,301.7,307.96,292.5,295.59,936160000.0,28380174336.0,2017,8,8,4
743,2017-08-19,ETH,296.18,301.67,286.18,297.47,860201984.0,27867920384.0,2017,8,8,5
744,2017-08-20,ETH,296.64,301.43,291.58,301.43,571947008.0,27918127104.0,2017,8,8,6
745,2017-08-21,ETH,300.48,347.05,297.23,321.59,2448969984.0,28285462528.0,2017,8,8,0
746,2017-08-22,ETH,321.05,327.36,297.91,314.79,1336400000.0,30229891072.0,2017,8,8,1
747,2017-08-23,ETH,315.27,324.21,314.54,317.52,811990016.0,29691918336.0,2017,8,8,2
748,2017-08-24,ETH,317.45,327.96,317.08,325.61,697665024.0,29904596992.0,2017,8,8,3
749,2017-08-25,ETH,326.11,336.4,325.8,331.92,760329024.0,30727895040.0,2017,8,8,4
750,2017-08-26,ETH,331.99,334.98,327.92,333.88,514180992.0,31288260608.0,2017,8,8,5
751,2017-08-27,ETH,334.36,347.89,334.36,347.89,633369984.0,31517530112.0,2017,8,8,6
752,2017-08-28,ETH,350.04,352.05,338.41,347.75,854318976.0,33002674176.0,2017,8,8,0
753,2017-08-29,ETH,347.96,373.76,347.79,370.67,1220029952.0,32813217792.0,2017,8,8,1
754,2017-08-30,ETH,369.47,388.75,361.97,378.48,1333319936.0,34848423936.0,2017,8,8,2
755,2017-08-31,ETH,378.44,386.14,376.35,383.04,706254016.0,35701485568.0,2017,8,8,3
756,2017-09-01,ETH,383.47,390.04,383.47,387.74,874222016.0,36182855680.0,2017,9,9,4
757,2017-09-02,ETH,387.82,389.35,328.1,348.98,1483600000.0,36601204736.0,2017,9,9,5
758,2017-09-03,ETH,350.23,366.49,332.23,347.48,986265984.0,33059801088.0,2017,9,9,6
759,2017-09-04,ETH,347.13,347.13,279.94,295.17,1801689984.0,32773988352.0,2017,9,9,0
760,2017-09-05,ETH,297.57,318.57,268.29,312.99,1551049984.0,28099983360.0,2017,9,9,1
761,2017-09-06,ETH,313.8,334.66,313.49,334.34,1058830016.0,29639079936.0,2017,9,9,2
762,2017-09-07,ETH,333.52,333.52,319.94,329.43,718624000.0,31507544064.0,2017,9,9,3
